,Linear Regression Fit Time (s),Linear Regression MSE,Random Forest Fit Time (s),Random Forest MSE
No Scaling 1,0.0020589828491210938,0.16012615376710893,0.03851318359375,0.16376410301385974
No Scaling 2,0.0024640560150146484,0.15994357794358424,0.03422117233276367,0.16820350272559711
No Scaling 3,0.002017974853515625,0.1444160836019613,0.03277707099914551,0.15962000943764526
Standard Scaling 1,0.0008330345153808594,0.16198197550655444,0.03359818458557129,0.1555668865208953
Standard Scaling 2,0.0005979537963867188,0.14868237430617723,0.03331494331359863,0.16780811024870396
Standard Scaling 3,0.0006029605865478516,0.14138109925263273,0.03473997116088867,0.1543363616342204
