name1,season1,ppg1,apg1,rpg1,bpg1,spg1,tov1,gp1,mp1,sp1,name2,season2,ppg2,apg2,rpg2,bpg2,spg2,tov2,gp2,mp2,sp2,label
Anthony Davis,2019-20,26.1,3.2,9.3,1.5,2.3,2.5,62.0,34.4,0.503,Stephen Curry,2009-10,17.5,5.9,4.5,1.9,0.2,3.0,80.0,36.2,0.462,0.0
Stephen Curry,2009-10,17.5,5.9,4.5,1.9,0.2,3.0,80.0,36.2,0.462,Anthony Davis,2019-20,26.1,3.2,9.3,1.5,2.3,2.5,62.0,34.4,0.503,1.0
Anthony Davis,2020-21,21.8,3.1,7.9,1.3,1.6,2.1,36.0,32.3,0.491,Rudy Gobert,2021-22,14.9,1.0,14.7,1.0,2.3,2.0,23.0,31.9,0.731,0.6666666666666666
Rudy Gobert,2021-22,14.9,1.0,14.7,1.0,2.3,2.0,23.0,31.9,0.731,Anthony Davis,2020-21,21.8,3.1,7.9,1.3,1.6,2.1,36.0,32.3,0.491,0.33333333333333337
Anthony Davis,2021-22,24.4,3.1,10.0,1.3,2.2,2.0,23.0,35.7,0.523,James Harden,2020-21,24.6,10.8,7.9,1.2,0.8,4.0,44.0,36.6,0.466,1.0
James Harden,2020-21,24.6,10.8,7.9,1.2,0.8,4.0,44.0,36.6,0.466,Anthony Davis,2021-22,24.4,3.1,10.0,1.3,2.2,2.0,23.0,35.7,0.523,0.0
Anthony Davis,2021-22,24.4,3.1,10.0,1.3,2.2,2.0,23.0,35.7,0.523,Luka Dončić,2018-19,21.2,6.0,7.8,1.1,0.3,3.4,72.0,32.2,0.427,0.0
Luka Dončić,2018-19,21.2,6.0,7.8,1.1,0.3,3.4,72.0,32.2,0.427,Anthony Davis,2021-22,24.4,3.1,10.0,1.3,2.2,2.0,23.0,35.7,0.523,1.0
Anthony Davis,2021-22,24.4,3.1,10.0,1.3,2.2,2.0,23.0,35.7,0.523,Rudy Gobert,2014-15,8.4,1.3,9.5,0.8,2.3,1.4,82.0,26.3,0.604,1.0
Rudy Gobert,2014-15,8.4,1.3,9.5,0.8,2.3,1.4,82.0,26.3,0.604,Anthony Davis,2021-22,24.4,3.1,10.0,1.3,2.2,2.0,23.0,35.7,0.523,0.0
Bam Adebayo,2017-18,6.9,1.5,5.5,0.5,0.6,1.0,69.0,19.8,0.512,Jimmy Butler,2020-21,21.5,7.1,6.9,2.1,0.3,2.1,52.0,33.6,0.497,0.5
Jimmy Butler,2020-21,21.5,7.1,6.9,2.1,0.3,2.1,52.0,33.6,0.497,Bam Adebayo,2017-18,6.9,1.5,5.5,0.5,0.6,1.0,69.0,19.8,0.512,0.5
Bam Adebayo,2017-18,6.9,1.5,5.5,0.5,0.6,1.0,69.0,19.8,0.512,LeBron James,2011-12,27.1,6.2,7.9,1.9,0.8,3.4,62.0,37.5,0.531,0.0
LeBron James,2011-12,27.1,6.2,7.9,1.9,0.8,3.4,62.0,37.5,0.531,Bam Adebayo,2017-18,6.9,1.5,5.5,0.5,0.6,1.0,69.0,19.8,0.512,1.0
Bam Adebayo,2017-18,6.9,1.5,5.5,0.5,0.6,1.0,69.0,19.8,0.512,Luka Dončić,2018-19,21.2,6.0,7.8,1.1,0.3,3.4,72.0,32.2,0.427,0.25
Luka Dončić,2018-19,21.2,6.0,7.8,1.1,0.3,3.4,72.0,32.2,0.427,Bam Adebayo,2017-18,6.9,1.5,5.5,0.5,0.6,1.0,69.0,19.8,0.512,0.75
Bam Adebayo,2017-18,6.9,1.5,5.5,0.5,0.6,1.0,69.0,19.8,0.512,Nikola Jokić,2020-21,26.4,8.3,10.8,1.3,0.7,3.1,72.0,34.6,0.566,0.3333333333333333
Nikola Jokić,2020-21,26.4,8.3,10.8,1.3,0.7,3.1,72.0,34.6,0.566,Bam Adebayo,2017-18,6.9,1.5,5.5,0.5,0.6,1.0,69.0,19.8,0.512,0.6666666666666667
Bam Adebayo,2017-18,6.9,1.5,5.5,0.5,0.6,1.0,69.0,19.8,0.512,Rudy Gobert,2013-14,2.3,0.2,3.4,0.2,0.9,0.7,45.0,9.6,0.486,0.0
Rudy Gobert,2013-14,2.3,0.2,3.4,0.2,0.9,0.7,45.0,9.6,0.486,Bam Adebayo,2017-18,6.9,1.5,5.5,0.5,0.6,1.0,69.0,19.8,0.512,1.0
Bam Adebayo,2017-18,6.9,1.5,5.5,0.5,0.6,1.0,69.0,19.8,0.512,Stephen Curry,2012-13,22.9,6.9,4.0,1.6,0.2,3.1,78.0,38.2,0.451,0.25
Stephen Curry,2012-13,22.9,6.9,4.0,1.6,0.2,3.1,78.0,38.2,0.451,Bam Adebayo,2017-18,6.9,1.5,5.5,0.5,0.6,1.0,69.0,19.8,0.512,0.75
Bam Adebayo,2018-19,8.9,2.2,7.3,0.9,0.8,1.5,82.0,23.3,0.576,Damian Lillard,2017-18,26.9,6.6,4.5,1.1,0.4,2.8,73.0,36.6,0.439,1.0
Damian Lillard,2017-18,26.9,6.6,4.5,1.1,0.4,2.8,73.0,36.6,0.439,Bam Adebayo,2018-19,8.9,2.2,7.3,0.9,0.8,1.5,82.0,23.3,0.576,0.0
Bam Adebayo,2018-19,8.9,2.2,7.3,0.9,0.8,1.5,82.0,23.3,0.576,Devin Booker,2021-22,23.2,4.5,4.9,0.9,0.2,2.7,21.0,32.2,0.458,0.0
Devin Booker,2021-22,23.2,4.5,4.9,0.9,0.2,2.7,21.0,32.2,0.458,Bam Adebayo,2018-19,8.9,2.2,7.3,0.9,0.8,1.5,82.0,23.3,0.576,1.0
Bam Adebayo,2018-19,8.9,2.2,7.3,0.9,0.8,1.5,82.0,23.3,0.576,Stephen Curry,2020-21,32.0,5.8,5.5,1.2,0.1,3.4,63.0,34.2,0.482,0.0
Stephen Curry,2020-21,32.0,5.8,5.5,1.2,0.1,3.4,63.0,34.2,0.482,Bam Adebayo,2018-19,8.9,2.2,7.3,0.9,0.8,1.5,82.0,23.3,0.576,1.0
Bam Adebayo,2019-20,15.9,5.1,10.2,1.1,1.3,2.8,72.0,33.6,0.557,Ben Simmons,2019-20,16.4,8.0,7.8,2.1,0.6,3.5,57.0,35.4,0.58,0.0
Ben Simmons,2019-20,16.4,8.0,7.8,2.1,0.6,3.5,57.0,35.4,0.58,Bam Adebayo,2019-20,15.9,5.1,10.2,1.1,1.3,2.8,72.0,33.6,0.557,1.0
Bam Adebayo,2019-20,15.9,5.1,10.2,1.1,1.3,2.8,72.0,33.6,0.557,Chris Paul,2007-08,21.1,11.6,4.0,2.7,0.1,2.5,80.0,37.6,0.488,0.3333333333333333
Chris Paul,2007-08,21.1,11.6,4.0,2.7,0.1,2.5,80.0,37.6,0.488,Bam Adebayo,2019-20,15.9,5.1,10.2,1.1,1.3,2.8,72.0,33.6,0.557,0.6666666666666667
Bam Adebayo,2019-20,15.9,5.1,10.2,1.1,1.3,2.8,72.0,33.6,0.557,Damian Lillard,2017-18,26.9,6.6,4.5,1.1,0.4,2.8,73.0,36.6,0.439,0.3333333333333333
Damian Lillard,2017-18,26.9,6.6,4.5,1.1,0.4,2.8,73.0,36.6,0.439,Bam Adebayo,2019-20,15.9,5.1,10.2,1.1,1.3,2.8,72.0,33.6,0.557,0.6666666666666667
Bam Adebayo,2019-20,15.9,5.1,10.2,1.1,1.3,2.8,72.0,33.6,0.557,Stephen Curry,2012-13,22.9,6.9,4.0,1.6,0.2,3.1,78.0,38.2,0.451,0.0
Stephen Curry,2012-13,22.9,6.9,4.0,1.6,0.2,3.1,78.0,38.2,0.451,Bam Adebayo,2019-20,15.9,5.1,10.2,1.1,1.3,2.8,72.0,33.6,0.557,1.0
Bam Adebayo,2020-21,18.7,5.4,9.0,1.2,1.0,2.6,64.0,33.5,0.57,Ben Simmons,2020-21,14.3,6.9,7.2,1.6,0.6,3.0,58.0,32.4,0.557,0.0
